log_id,timestamp,equipment_id,location_id,activity,cycle_time_minutes,payload_tonnes,fuel_consumed_litres,weather_condition
1,"2026-06-01 06:00:00",HT-001,PIT_A,Loading,12.55,337.11,15.06,Clear
2,"2026-06-01 06:12:33",HT-001,CRU_01,Hauling,15.17,337.11,78.88,Clear
3,"2026-06-01 06:27:43",HT-001,CRU_01,Dumping,3.1,337.11,3.1,Clear
4,"2026-06-01 06:30:49",HT-001,PIT_A,"Empty Return",11.31,0,31.67,Clear
5,"2026-06-01 06:42:07",HT-002,PIT_A,Loading,11.08,360.71,13.3,Clear
6,"2026-06-01 06:53:12",HT-002,CRU_01,Hauling,16.44,360.71,85.48,Clear
7,"2026-06-01 07:09:39",HT-002,CRU_01,Dumping,2.88,360.71,2.88,Clear
8,"2026-06-01 07:12:31",HT-002,PIT_A,"Empty Return",10.78,0,30.19,Clear
9,"2026-06-01 07:23:18",HT-003,PIT_A,Loading,9.79,286.91,11.75,Clear
10,"2026-06-01 07:33:06",HT-003,CRU_01,Hauling,15.56,286.91,80.89,Clear
11,"2026-06-01 07:48:39",HT-003,CRU_01,Dumping,3.07,286.91,3.07,Clear
12,"2026-06-01 07:51:43",HT-003,PIT_A,"Empty Return",10.09,0,28.26,Clear
13,"2026-06-01 08:01:49",HT-004,PIT_A,Loading,9.38,278.03,11.26,Clear
14,"2026-06-01 08:11:12",HT-004,CRU_01,Hauling,16.84,278.03,87.55,Clear
15,"2026-06-01 08:28:02",HT-004,CRU_01,Dumping,4.49,278.03,4.49,Clear
16,"2026-06-01 08:32:31",HT-004,PIT_A,"Empty Return",12.62,0,35.34,Clear
17,"2026-06-01 09:00:08",HT-001,PIT_A,Loading,9.91,374.6,11.89,Clear
18,"2026-06-01 09:10:03",HT-001,CRU_01,Hauling,15.41,374.6,80.14,Clear
19,"2026-06-01 09:25:28",HT-001,CRU_01,Dumping,3.08,374.6,3.08,Clear
20,"2026-06-01 09:28:32",HT-001,PIT_A,"Empty Return",12.78,0,35.79,Clear
21,"2026-06-01 09:41:19",HT-002,PIT_A,Loading,11.83,338.41,14.2,Clear
22,"2026-06-01 09:53:09",HT-002,CRU_01,Hauling,14.14,338.41,73.52,Clear
23,"2026-06-01 10:07:18",HT-002,CRU_01,Dumping,3.48,338.41,3.48,Clear
24,"2026-06-01 10:10:46",HT-002,PIT_A,"Empty Return",11.96,0,33.48,Clear
25,"2026-06-01 10:22:43",HT-003,PIT_A,Loading,12.58,273.19,15.1,Clear
26,"2026-06-01 10:35:18",HT-003,CRU_01,Hauling,14.3,273.19,74.35,Clear
27,"2026-06-01 10:49:36",HT-003,CRU_01,Dumping,2.31,273.19,2.31,Clear
28,"2026-06-01 10:51:55",HT-003,PIT_A,"Empty Return",13.11,0,36.7,Clear
29,"2026-06-01 11:05:01",HT-004,PIT_A,Loading,10.13,290.13,12.16,Clear
30,"2026-06-01 11:15:09",HT-004,CRU_01,Hauling,15.37,290.13,79.93,Clear
31,"2026-06-01 11:30:31",HT-004,CRU_01,Dumping,3.26,290.13,3.26,Clear
32,"2026-06-01 11:33:47",HT-004,PIT_A,"Empty Return",10.55,0,29.54,Clear
33,"2026-06-01 11:59:20",HT-001,PIT_A,Loading,10.99,358.42,13.19,Clear
34,"2026-06-01 12:10:19",HT-001,CRU_01,Hauling,16.52,358.42,85.91,Clear
35,"2026-06-01 12:26:50",HT-001,CRU_01,Dumping,2.34,358.42,2.34,Clear
36,"2026-06-01 12:29:11",HT-001,PIT_A,"Empty Return",12.95,0,36.25,Clear
37,"2026-06-01 12:42:08",HT-002,PIT_A,Loading,8.73,349.95,10.48,Clear
38,"2026-06-01 12:50:52",HT-002,CRU_01,Hauling,11.32,349.95,58.88,Clear
39,"2026-06-01 13:02:11",HT-002,CRU_01,Dumping,2.77,349.95,2.77,Clear
40,"2026-06-01 13:04:57",HT-002,PIT_A,"Empty Return",11.94,0,33.44,Clear
41,"2026-06-01 13:16:54",HT-003,PIT_A,Loading,10.45,295.38,12.54,Clear
42,"2026-06-01 13:27:21",HT-003,CRU_01,Hauling,12.42,295.38,64.6,Clear
43,"2026-06-01 13:39:46",HT-003,CRU_01,Dumping,3.42,295.38,3.42,Clear
44,"2026-06-01 13:43:12",HT-003,PIT_A,"Empty Return",11.85,0,33.19,Clear
45,"2026-06-01 13:55:03",HT-004,PIT_A,Loading,10.78,266.66,12.94,Clear
46,"2026-06-01 14:05:50",HT-004,CRU_01,Hauling,19.68,266.66,102.35,Clear
47,"2026-06-01 14:25:31",HT-004,CRU_01,Dumping,3.96,266.66,3.96,Clear
48,"2026-06-01 14:29:28",HT-004,PIT_A,"Empty Return",9.15,0,25.61,Clear
49,"2026-06-01 14:53:37",HT-001,PIT_A,Loading,11.28,358.22,13.53,Clear
50,"2026-06-01 15:04:54",HT-001,CRU_01,Hauling,17.87,358.22,92.93,Clear
51,"2026-06-01 15:22:46",HT-001,CRU_01,Dumping,2.83,358.22,2.83,Clear
52,"2026-06-01 15:25:36",HT-001,PIT_A,"Empty Return",12,0,33.61,Clear
53,"2026-06-01 15:37:36",HT-002,PIT_A,Loading,8.1,352.54,9.72,Clear
54,"2026-06-01 15:45:43",HT-002,CRU_01,Hauling,14.9,352.54,77.49,Clear
55,"2026-06-01 16:00:37",HT-002,CRU_01,Dumping,3.18,352.54,3.18,Clear
56,"2026-06-01 16:03:47",HT-002,PIT_A,"Empty Return",13.95,0,39.07,Clear
57,"2026-06-01 16:17:45",HT-003,PIT_A,Loading,9.05,286.11,10.87,Clear
58,"2026-06-01 16:26:48",HT-003,CRU_01,Hauling,13.42,286.11,69.77,Clear
59,"2026-06-01 16:40:13",HT-003,CRU_01,Dumping,3.01,286.11,3.01,Clear
60,"2026-06-01 16:43:14",HT-003,PIT_A,"Empty Return",10.36,0,29,Clear
61,"2026-06-01 16:53:35",HT-004,PIT_A,Loading,10.48,277.99,12.58,Clear
62,"2026-06-01 17:04:04",HT-004,CRU_01,Hauling,12.91,277.99,67.12,Clear
63,"2026-06-01 17:16:58",HT-004,CRU_01,Dumping,2.87,277.99,2.87,Clear
64,"2026-06-01 17:19:50",HT-004,PIT_A,"Empty Return",11.53,0,32.29,Clear
65,"2026-06-01 17:46:22",HT-001,PIT_A,Loading,10.02,318.01,12.02,Clear
